Model,Experiment,Prompt_Version,MTE_Mean,MTE_Std,MTE_Mean_Last_10s,MTE_Std_Last_10s
gemma4_31b,Cluttered_tabletop,v1,0.559,0.071,0.565,0.071
qwen3.5_9b,Cluttered_tabletop,v1,,,,
qwen3.5_27b,Cluttered_tabletop,v1,0.069,0.068,0.059,0.035
qwen3.5_35b,Cluttered_tabletop,v1,,,,
llama3.1_latest,Cluttered_tabletop,v1.5,0.627,0.072,0.635,0.070
llama3.1_8b,Cluttered_tabletop,v1.5,0.616,0.074,0.625,0.072
llama3.1_70b,Cluttered_tabletop,v1.5,0.405,0.07,0.406,0.070
gemma4_e4b,Cluttered_tabletop,v1.5,0.586,0.074,0.593,0.074
gemma4_31b,Cluttered_tabletop,v1.5,0.022,0.068,0.006,0.004
qwen3.5_9b,Cluttered_tabletop,v1.5,,,,
qwen3.5_27b,Cluttered_tabletop,v1.5,,,,
qwen3.5_35b,Cluttered_tabletop,v1.5,,,,
llama3.1_latest,Cluttered_tabletop,pnp,0.607,0.331,0.636,0.331
llama3.1_8b,Cluttered_tabletop,pnp,0.608,0.331,0.639,0.328
llama3.1_70b,Cluttered_tabletop,pnp,0.079,0.109,0.058,0.072
gemma4_e4b,Cluttered_tabletop,pnp,0.08,0.104,0.059,0.072
gemma4_31b,Cluttered_tabletop,pnp,0.025,0.075,0.006,0.005
qwen3.5_9b,Cluttered_tabletop,pnp,,,,
qwen3.5_27b,Cluttered_tabletop,pnp,0.025,0.075,0.006,0.005
qwen3.5_35b,Cluttered_tabletop,pnp,0.025,0.075,0.006,0.005
